IDSIM	TGBD	TGKT
S06	17/09/1997 05:20:00	17/09/1997 11:46:00
S06	19/11/2014 19:55:00	20/11/2014 12:53:00
S03	06/01/2003 12:08:00	07/01/2003 04:39:00
S05	20/03/2005 20:34:00	21/03/2005 18:33:00
S12	11/09/2017 07:54:00	11/09/2017 19:06:00
S03	22/11/1995 22:04:00	23/11/1995 17:28:00
S05	20/06/2010 17:28:00	21/06/2010 01:21:00
S04	28/07/2014 02:11:00	28/07/2014 02:39:00
S06	18/11/1997 22:49:00	19/11/1997 17:58:00
S15	23/05/2004 15:57:00	23/05/2004 20:01:00
S19	06/03/2001 06:58:00	07/03/2001 01:56:00
S12	22/03/2001 21:29:00	23/03/2001 03:20:00
S19	05/12/2002 01:04:00	05/12/2002 19:24:00
S04	04/06/1997 11:38:00	05/06/1997 02:36:00
S02	29/11/2004 02:55:00	29/11/2004 17:58:00
S05	03/01/2007 11:37:00	03/01/2007 22:41:00
S10	24/08/2006 11:57:00	24/08/2006 12:49:00
S06	02/06/1996 14:39:00	03/06/1996 10:27:00
S15	26/10/1998 17:09:00	27/10/1998 00:55:00
S15	04/02/1998 20:16:00	05/02/1998 17:32:00
S15	07/08/2006 17:30:00	08/08/2006 14:53:00
S13	02/11/2002 00:28:00	02/11/2002 02:36:00
S06	05/11/2002 14:30:00	06/11/2002 11:53:00
S15	27/11/1995 01:38:00	27/11/1995 07:38:00
S15	06/11/2014 13:07:00	07/11/2014 00:35:00
S14	27/07/2015 18:26:00	28/07/2015 07:23:00
S08	08/04/2000 11:33:00	09/04/2000 07:42:00
S11	12/11/1998 21:02:00	12/11/1998 22:34:00
S15	25/08/2000 21:03:00	26/08/2000 11:52:00
S09	13/03/2009 16:32:00	14/03/2009 14:31:00
S09	18/10/2004 09:38:00	18/10/2004 13:10:00
S02	21/03/2012 13:19:00	21/03/2012 19:11:00
S12	17/02/2006 13:12:00	18/02/2006 11:13:00
S14	14/10/2003 02:59:00	15/10/2003 00:22:00
S17	15/07/1999 04:06:00	15/07/1999 17:21:00
S09	25/04/1999 16:52:00	26/04/1999 04:14:00
S04	08/12/2007 07:44:00	08/12/2007 08:33:00
S03	15/10/2005 11:28:00	15/10/2005 15:47:00
S09	08/02/2010 00:16:00	08/02/2010 08:43:00
S13	13/11/2009 02:02:00	13/11/2009 02:03:00
S12	31/08/2000 17:58:00	01/09/2000 16:04:00
S03	16/12/2017 11:34:00	16/12/2017 16:25:00
S09	09/08/2018 21:38:00	10/08/2018 11:37:00
S14	14/04/1998 01:41:00	14/04/1998 08:32:00
S08	22/03/2017 16:43:00	23/03/2017 14:39:00
S19	20/06/2007 02:01:00	20/06/2007 17:23:00
S07	09/11/2003 18:40:00	10/11/2003 17:29:00
S02	25/06/2013 10:25:00	25/06/2013 12:41:00
S09	26/01/1999 21:17:00	27/01/1999 11:54:00
S02	22/09/2013 20:42:00	23/09/2013 08:30:00
S11	14/11/1997 22:08:00	15/11/1997 02:19:00
S11	12/06/2016 18:12:00	12/06/2016 18:15:00
S18	16/05/2012 15:30:00	17/05/2012 04:12:00
S03	03/02/1999 14:30:00	03/02/1999 17:58:00
S04	01/08/1997 22:25:00	02/08/1997 04:12:00
S11	16/09/2007 20:19:00	17/09/2007 04:28:00
S05	29/04/2014 11:29:00	29/04/2014 17:31:00
S02	15/01/2006 20:30:00	16/01/2006 18:40:00
S12	27/11/1999 20:33:00	28/11/1999 03:11:00
S12	09/10/2016 02:12:00	09/10/2016 04:22:00
S03	01/08/2013 09:22:00	02/08/2013 00:28:00
S11	31/08/2016 04:05:00	01/09/2016 02:28:00
S17	11/10/2012 10:57:00	11/10/2012 18:42:00
